Team,Matches,Pts,Rating
India,66,17667,268
Australia,45,11545,257
England,41,10391,253
West Indies,52,13139,253
New Zealand,49,12113,247
South Africa,40,9800,245
Pakistan,46,11097,241
Sri Lanka,43,9974,232
Bangladesh,53,11898,224
Afghanistan,39,8682,223
Ireland,49,9629,197
Zimbabwe,51,9915,194
Scotland,27,5151,191
Netherlands,25,4600,184
Namibia,41,7456,182
UAE,46,8198,178
Nepal,46,7852,171
USA,30,5010,167
Oman,42,6697,159
PNG,31,4472,144
Canada,28,3914,140
Uganda,62,8353,135
Hong Kong,47,6173,131
Kuwait,41,5087,124
Malaysia,50,6123,122
Bahrain,34,4030,119
Jersey,26,3063,118
Qatar,23,2598,113
Spain,22,2442,111
Italy,18,1944,108
Bermuda,11,1185,108
Kenya,56,5870,105
Saudi Arabia,30,3142,105
Tanzania,47,4301,92
Germany,32,2860,89
Nigeria,34,2711,80
Brazil,1,77,77
Guernsey,23,1759,76
Singapore,29,2217,76
Norway,20,1444,72
Cayman Islands,9,646,72
Denmark,25,1711,68
Cambodia,22,1471,67
Portugal,17,1071,63
Isle of Man,14,857,61
Japan,36,2174,60
Belgium,29,1710,59
Austria,30,1691,56
France,24,1325,55
Switzerland,17,934,55
Botswana,24,1298,54
Cook Islands,9,426,47
Romania,28,1316,47
Malawi,30,1369,46
Sweden,17,770,45
Finland,21,950,45
Argentina,9,407,45
Czech Republic,19,809,43
Thailand,28,1133,40
Vanuatu,22,884,40
Philippines,24,894,37
Mozambique,21,751,36
Fiji,11,387,35
Rwanda,73,2416,33
Samoa,11,357,32
Ghana,33,1045,32
Estonia,19,597,31
Indonesia,40,1144,29
Luxembourg,28,753,27
Sierra Leone,25,651,26
Malta,46,1191,26
Israel,7,178,25
Bahamas,8,191,24
Belize,3,66,22
St Helena,3,67,22
Gibraltar,31,615,20
Hungary,17,336,20
Slovenia,8,150,19
Panama,9,157,17
Bhutan,21,338,16
Cyprus,17,272,16
Mexico,9,131,15
Costa Rica,5,64,13
Croatia,17,167,10
Maldives,31,234,8
Eswatini,17,118,7
Cameroon,15,99,7
China,11,53,5
Bulgaria,25,96,4
Serbia,22,70,3
Lesotho,16,3,0
Mongolia,14,0,0
Turkey,9,0,0
Chile,2,0,0
South Korea,8,0,0
Seychelles,10,0,0
Myanmar,13,0,0
Mali,11,0,0
Greece,8,0,0
Gambia,9,0,0
